Fecha,Provincia,Marca,Venta Total,Iva,Sub Total
2024-02-01,Azuay,American Deli,21831.29,3274.69,18556.6
2024-02-02,Azuay,American Deli,15744.5,2361.67,13382.83
2024-02-03,Azuay,American Deli,17542.73,2631.41,14911.32
2024-02-04,Azuay,American Deli,16537.88,2480.68,14057.2
2024-02-05,Azuay,American Deli,24901.83,3735.27,21166.56
2024-02-06,Azuay,American Deli,30182.62,4527.39,25655.23
2024-02-07,Azuay,American Deli,22220.93,3333.14,18887.79
2024-02-08,Azuay,American Deli,24688.34,3703.25,20985.09
2024-02-09,Azuay,American Deli,17925.43,2688.81,15236.62
2024-02-10,Azuay,American Deli,24428.78,3664.32,20764.46
2024-02-11,Azuay,American Deli,17286.86,2593.03,14693.83
2024-02-12,Azuay,American Deli,24177.19,3626.58,20550.61
2024-02-13,Azuay,American Deli,29573.08,4435.96,25137.12
2024-02-14,Azuay,American Deli,19323.39,2898.51,16424.88
2024-02-15,Azuay,American Deli,22335.61,3350.34,18985.27
2024-02-16,Azuay,American Deli,30547.11,4582.07,25965.04
2024-02-17,Azuay,American Deli,29470.98,4420.65,25050.33
2024-02-18,Azuay,American Deli,20602.46,3090.37,17512.09
2024-02-19,Azuay,American Deli,28425.04,4263.76,24161.28
2024-02-20,Azuay,American Deli,25757.25,3863.59,21893.66
2024-02-21,Azuay,American Deli,25975.55,3896.33,22079.22
2024-02-22,Azuay,American Deli,26062.97,3909.45,22153.52
2024-02-23,Azuay,American Deli,18090.58,2713.59,15376.99
2024-02-24,Azuay,American Deli,28912.51,4336.88,24575.63
2024-02-25,Azuay,American Deli,30160.31,4524.05,25636.26
2024-02-26,Azuay,American Deli,29642.72,4446.41,25196.31
2024-02-27,Azuay,American Deli,28487.37,4273.11,24214.26
2024-02-28,Azuay,American Deli,18281.83,2742.27,15539.56
2024-02-29,Azuay,American Deli,18584.21,2787.63,15796.58
2024-03-01,Azuay,American Deli,29484.2,4422.63,25061.57
2024-03-02,Azuay,American Deli,18127.2,2719.08,15408.12
2024-03-03,Azuay,American Deli,23867.08,3580.06,20287.02
2024-03-04,Azuay,American Deli,23487.74,3523.16,19964.58
2024-03-05,Azuay,American Deli,30357.71,4553.66,25804.05
2024-03-06,Azuay,American Deli,18643.31,2796.5,15846.81
2024-03-07,Azuay,American Deli,16758.21,2513.73,14244.48
2024-03-08,Azuay,American Deli,21686.18,3252.93,18433.25
2024-03-09,Azuay,American Deli,29134.33,4370.15,24764.18
2024-03-10,Azuay,American Deli,20116.84,3017.53,17099.31
2024-03-11,Azuay,American Deli,15783.06,2367.46,13415.6
2024-03-12,Azuay,American Deli,18644.6,2796.69,15847.91
2024-03-13,Azuay,American Deli,30292.86,4543.93,25748.93
2024-03-14,Azuay,American Deli,29076.75,4361.51,24715.24
2024-03-15,Azuay,American Deli,19367.91,2905.19,16462.72
2024-03-16,Azuay,American Deli,29897.88,4484.68,25413.2
2024-03-17,Azuay,American Deli,23844.15,3576.62,20267.53
2024-03-18,Azuay,American Deli,24810.83,3721.62,21089.21
2024-03-19,Azuay,American Deli,20021.36,3003.2,17018.16
2024-03-20,Azuay,American Deli,19518.88,2927.83,16591.05
2024-03-21,Azuay,American Deli,18497.76,2774.66,15723.1
2024-03-22,Azuay,American Deli,24111.5,3616.72,20494.78
2024-03-23,Azuay,American Deli,25813.32,3872.0,21941.32
2024-03-24,Azuay,American Deli,16676.8,2501.52,14175.28
2024-03-25,Azuay,American Deli,30243.46,4536.52,25706.94
2024-03-26,Azuay,American Deli,15651.01,2347.65,13303.36
2024-03-27,Azuay,American Deli,15721.35,2358.2,13363.15
2024-03-28,Azuay,American Deli,21982.48,3297.37,18685.11
2024-03-29,Azuay,American Deli,26224.19,3933.63,22290.56
2024-03-30,Azuay,American Deli,23952.6,3592.89,20359.71
2024-03-31,Azuay,American Deli,27895.17,4184.28,23710.89
2024-04-01,Azuay,American Deli,21432.48,3214.87,18217.61
2024-04-02,Azuay,American Deli,22277.92,3341.69,18936.23
2024-04-03,Azuay,American Deli,21694.69,3254.2,18440.49
2024-04-04,Azuay,American Deli,29355.43,4403.31,24952.12
2024-04-05,Azuay,American Deli,21897.07,3284.56,18612.51
2024-04-06,Azuay,American Deli,26161.12,3924.17,22236.95
2024-04-07,Azuay,American Deli,20626.76,3094.01,17532.75
2024-04-08,Azuay,American Deli,24650.43,3697.56,20952.87
2024-04-09,Azuay,American Deli,27573.81,4136.07,23437.74
2024-04-10,Azuay,American Deli,16247.55,2437.13,13810.42
2024-04-11,Azuay,American Deli,29585.33,4437.8,25147.53
2024-04-12,Azuay,American Deli,15373.77,2306.07,13067.7
2024-04-13,Azuay,American Deli,27381.53,4107.23,23274.3
2024-04-14,Azuay,American Deli,15371.74,2305.76,13065.98
2024-04-15,Azuay,American Deli,29076.19,4361.43,24714.76
2024-04-16,Azuay,American Deli,26541.22,3981.18,22560.04
2024-04-17,Azuay,American Deli,21884.5,3282.67,18601.83
2024-04-18,Azuay,American Deli,26597.53,3989.63,22607.9
2024-04-19,Azuay,American Deli,21822.07,3273.31,18548.76
2024-04-20,Azuay,American Deli,21135.99,3170.4,17965.59
2024-04-21,Azuay,American Deli,22237.43,3335.61,18901.82
2024-04-22,Azuay,American Deli,23401.11,3510.17,19890.94
2024-04-23,Azuay,American Deli,16422.75,2463.41,13959.34
2024-04-24,Azuay,American Deli,27833.02,4174.95,23658.07
2024-04-25,Azuay,American Deli,30535.89,4580.38,25955.51
2024-04-26,Azuay,American Deli,16687.86,2503.18,14184.68
2024-04-27,Azuay,American Deli,20882.27,3132.34,17749.93
2024-04-28,Azuay,American Deli,27732.07,4159.81,23572.26
2024-04-29,Azuay,American Deli,29016.57,4352.49,24664.08
2024-04-30,Azuay,American Deli,24971.3,3745.69,21225.61
2024-05-01,Azuay,American Deli,23972.77,3595.92,20376.85
2024-05-02,Azuay,American Deli,24587.15,3688.07,20899.08
2024-05-03,Azuay,American Deli,23411.49,3511.72,19899.77
2024-05-04,Azuay,American Deli,16096.3,2414.44,13681.86
2024-05-05,Azuay,American Deli,23943.15,3591.47,20351.68
2024-05-06,Azuay,American Deli,22134.38,3320.16,18814.22
2024-05-07,Azuay,American Deli,18474.12,2771.12,15703.0
2024-05-08,Azuay,American Deli,29405.23,4410.78,24994.45
2024-05-09,Azuay,American Deli,18186.5,2727.97,15458.53
2024-05-10,Azuay,American Deli,24820.67,3723.1,21097.57
2024-05-11,Azuay,American Deli,22227.9,3334.18,18893.72
2024-05-12,Azuay,American Deli,26137.46,3920.62,22216.84
2024-05-13,Azuay,American Deli,28103.77,4215.57,23888.2
2024-05-14,Azuay,American Deli,26793.37,4019.01,22774.36
2024-05-15,Azuay,American Deli,18293.83,2744.07,15549.76
2024-05-16,Azuay,American Deli,17266.69,2590.0,14676.69
2024-05-17,Azuay,American Deli,23438.18,3515.73,19922.45
2024-05-18,Azuay,American Deli,25999.6,3899.94,22099.66
2024-05-19,Azuay,American Deli,29543.25,4431.49,25111.76
2024-05-20,Azuay,American Deli,19148.28,2872.24,16276.04
2024-05-21,Azuay,American Deli,21040.5,3156.07,17884.43
2024-05-22,Azuay,American Deli,15619.76,2342.96,13276.8
2024-05-23,Azuay,American Deli,15636.18,2345.43,13290.75
2024-05-24,Azuay,American Deli,16784.84,2517.73,14267.11
2024-05-25,Azuay,American Deli,27015.48,4052.32,22963.16
2024-05-26,Azuay,American Deli,18385.48,2757.82,15627.66
2024-05-27,Azuay,American Deli,23517.58,3527.64,19989.94
2024-05-28,Azuay,American Deli,18138.58,2720.79,15417.79
2024-05-29,Azuay,American Deli,26079.2,3911.88,22167.32
2024-05-30,Azuay,American Deli,29107.23,4366.08,24741.15
2024-05-31,Azuay,American Deli,26777.28,4016.59,22760.69
2024-06-01,Azuay,American Deli,22219.54,3332.93,18886.61
2024-06-02,Azuay,American Deli,26615.28,3992.29,22622.99
2024-06-03,Azuay,American Deli,28781.03,4317.15,24463.88
2024-06-04,Azuay,American Deli,24215.55,3632.33,20583.22
2024-06-05,Azuay,American Deli,16606.31,2490.95,14115.36
2024-06-06,Azuay,American Deli,24609.15,3691.37,20917.78
2024-06-07,Azuay,American Deli,26199.34,3929.9,22269.44
2024-06-08,Azuay,American Deli,25632.91,3844.94,21787.97
2024-06-09,Azuay,American Deli,20733.58,3110.04,17623.54
2024-06-10,Azuay,American Deli,20015.21,3002.28,17012.93
2024-06-11,Azuay,American Deli,30570.1,4585.51,25984.59
2024-06-12,Azuay,American Deli,27315.78,4097.37,23218.41
2024-06-13,Azuay,American Deli,21623.51,3243.53,18379.98
2024-06-14,Azuay,American Deli,28969.58,4345.44,24624.14
2024-06-15,Azuay,American Deli,25138.86,3770.83,21368.03
2024-06-16,Azuay,American Deli,22328.48,3349.27,18979.21
2024-06-17,Azuay,American Deli,19344.02,2901.6,16442.42
2024-06-18,Azuay,American Deli,28121.65,4218.25,23903.4
2024-06-19,Azuay,American Deli,16612.01,2491.8,14120.21
2024-06-20,Azuay,American Deli,21724.04,3258.61,18465.43
2024-06-21,Azuay,American Deli,17243.92,2586.59,14657.33
2024-06-22,Azuay,American Deli,30323.09,4548.46,25774.63
2024-06-23,Azuay,American Deli,30071.94,4510.79,25561.15
2024-06-24,Azuay,American Deli,27813.57,4172.04,23641.53
2024-06-25,Azuay,American Deli,15721.74,2358.26,13363.48
2024-06-26,Azuay,American Deli,18618.68,2792.8,15825.88
2024-06-27,Azuay,American Deli,18486.22,2772.93,15713.29
2024-06-28,Azuay,American Deli,18421.66,2763.25,15658.41
2024-06-29,Azuay,American Deli,24394.9,3659.24,20735.66
2024-06-30,Azuay,American Deli,29309.18,4396.38,24912.8
2024-07-01,Azuay,American Deli,29958.32,4493.75,25464.57
2024-07-02,Azuay,American Deli,16417.07,2462.56,13954.51
2024-07-03,Azuay,American Deli,19438.24,2915.74,16522.5
2024-07-04,Azuay,American Deli,25810.15,3871.52,21938.63
2024-07-05,Azuay,American Deli,29315.37,4397.31,24918.06
2024-07-06,Azuay,American Deli,22184.81,3327.72,18857.09
2024-07-07,Azuay,American Deli,18517.52,2777.63,15739.89
2024-07-08,Azuay,American Deli,19484.95,2922.74,16562.21
2024-07-09,Azuay,American Deli,22222.04,3333.31,18888.73
2024-07-10,Azuay,American Deli,15706.66,2356.0,13350.66
2024-07-11,Azuay,American Deli,18689.67,2803.45,15886.22
2024-07-12,Azuay,American Deli,29326.33,4398.95,24927.38
2024-07-13,Azuay,American Deli,15925.28,2388.79,13536.49
2024-07-14,Azuay,American Deli,30668.61,4600.29,26068.32
2024-07-15,Azuay,American Deli,16745.08,2511.76,14233.32
2024-07-16,Azuay,American Deli,23680.7,3552.11,20128.59
2024-07-17,Azuay,American Deli,21644.02,3246.6,18397.42
2024-07-18,Azuay,American Deli,28801.21,4320.18,24481.03
2024-07-19,Azuay,American Deli,22482.93,3372.44,19110.49
2024-07-20,Azuay,American Deli,18927.31,2839.1,16088.21
2024-07-21,Azuay,American Deli,27343.83,4101.57,23242.26
2024-07-22,Azuay,American Deli,25483.06,3822.46,21660.6
2024-07-23,Azuay,American Deli,28396.96,4259.54,24137.42
2024-07-24,Azuay,American Deli,28645.56,4296.83,24348.73
2024-07-25,Azuay,American Deli,22019.73,3302.96,18716.77
2024-07-26,Azuay,American Deli,23646.86,3547.03,20099.83
2024-07-27,Azuay,American Deli,22789.68,3418.45,19371.23
2024-07-28,Azuay,American Deli,28933.11,4339.97,24593.14
2024-07-29,Azuay,American Deli,19222.75,2883.41,16339.34
2024-07-30,Azuay,American Deli,28707.96,4306.19,24401.77
2024-07-31,Azuay,American Deli,21873.88,3281.08,18592.8
2024-08-01,Azuay,American Deli,24458.4,3668.76,20789.64
2024-08-02,Azuay,American Deli,23312.67,3496.9,19815.77
2024-08-03,Azuay,American Deli,28139.74,4220.96,23918.78
2024-08-04,Azuay,American Deli,15804.06,2370.61,13433.45
2024-08-05,Azuay,American Deli,16963.33,2544.5,14418.83
2024-08-06,Azuay,American Deli,27271.74,4090.76,23180.98
2024-08-07,Azuay,American Deli,17304.12,2595.62,14708.5
2024-08-08,Azuay,American Deli,19379.71,2906.96,16472.75
2024-08-09,Azuay,American Deli,23043.08,3456.46,19586.62
2024-08-10,Azuay,American Deli,16067.14,2410.07,13657.07
2024-08-11,Azuay,American Deli,29227.77,4384.17,24843.6
2024-08-12,Azuay,American Deli,27886.61,4182.99,23703.62
2024-08-13,Azuay,American Deli,24164.53,3624.68,20539.85
2024-08-14,Azuay,American Deli,20358.86,3053.83,17305.03
2024-08-15,Azuay,American Deli,27421.58,4113.24,23308.34
2024-08-16,Azuay,American Deli,22475.48,3371.32,19104.16
2024-08-17,Azuay,American Deli,19599.71,2939.96,16659.75
2024-08-18,Azuay,American Deli,26084.28,3912.64,22171.64
2024-08-19,Azuay,American Deli,21754.0,3263.1,18490.9
2024-08-20,Azuay,American Deli,23750.18,3562.53,20187.65
2024-08-21,Azuay,American Deli,27096.47,4064.47,23032.0
2024-08-22,Azuay,American Deli,23429.63,3514.44,19915.19
2024-08-23,Azuay,American Deli,16297.15,2444.57,13852.58
2024-08-24,Azuay,American Deli,15541.07,2331.16,13209.91
2024-08-25,Azuay,American Deli,29791.53,4468.73,25322.8
2024-08-26,Azuay,American Deli,16675.57,2501.34,14174.23
2024-08-27,Azuay,American Deli,27127.63,4069.14,23058.49
2024-08-28,Azuay,American Deli,21053.52,3158.03,17895.49
2024-08-29,Azuay,American Deli,23947.58,3592.14,20355.44
2024-08-30,Azuay,American Deli,22180.15,3327.02,18853.13
2024-08-31,Azuay,American Deli,16303.86,2445.58,13858.28
2024-09-01,Azuay,American Deli,20867.99,3130.2,17737.79
2024-09-02,Azuay,American Deli,19996.98,2999.55,16997.43
2024-09-03,Azuay,American Deli,20696.22,3104.43,17591.79
2024-09-04,Azuay,American Deli,16363.11,2454.47,13908.64
2024-09-05,Azuay,American Deli,19854.9,2978.24,16876.66
2024-09-06,Azuay,American Deli,30105.2,4515.78,25589.42
2024-09-07,Azuay,American Deli,29108.64,4366.3,24742.34
2024-09-08,Azuay,American Deli,20127.48,3019.12,17108.36
2024-09-09,Azuay,American Deli,21313.21,3196.98,18116.23
2024-09-10,Azuay,American Deli,16005.44,2400.82,13604.62
2024-09-11,Azuay,American Deli,29361.44,4404.22,24957.22
2024-09-12,Azuay,American Deli,23119.86,3467.98,19651.88
2024-09-13,Azuay,American Deli,24134.52,3620.18,20514.34
2024-09-14,Azuay,American Deli,19098.18,2864.73,16233.45
2024-09-15,Azuay,American Deli,24015.74,3602.36,20413.38
2024-09-16,Azuay,American Deli,17035.76,2555.36,14480.4
2024-09-17,Azuay,American Deli,28226.96,4234.04,23992.92
2024-09-18,Azuay,American Deli,28864.24,4329.64,24534.6
2024-09-19,Azuay,American Deli,29285.5,4392.82,24892.68
2024-09-20,Azuay,American Deli,16467.75,2470.16,13997.59
2024-09-21,Azuay,American Deli,23047.81,3457.17,19590.64
2024-09-22,Azuay,American Deli,16476.18,2471.43,14004.75
2024-09-23,Azuay,American Deli,17776.18,2666.43,15109.75
2024-09-24,Azuay,American Deli,28836.22,4325.43,24510.79
2024-09-25,Azuay,American Deli,17523.58,2628.54,14895.04
2024-09-26,Azuay,American Deli,30427.46,4564.12,25863.34
2024-09-27,Azuay,American Deli,17818.21,2672.73,15145.48
2024-09-28,Azuay,American Deli,23245.49,3486.82,19758.67
2024-09-29,Azuay,American Deli,28538.04,4280.71,24257.33
2024-09-30,Azuay,American Deli,27716.39,4157.46,23558.93
2024-10-01,Azuay,American Deli,29532.24,4429.84,25102.4
2024-10-02,Azuay,American Deli,19529.89,2929.48,16600.41
2024-10-03,Azuay,American Deli,22249.05,3337.36,18911.69
2024-10-04,Azuay,American Deli,19903.13,2985.47,16917.66
2024-10-05,Azuay,American Deli,27068.89,4060.33,23008.56
2024-10-06,Azuay,American Deli,26447.74,3967.16,22480.58
2024-10-07,Azuay,American Deli,17441.37,2616.21,14825.16
2024-10-08,Azuay,American Deli,17789.33,2668.4,15120.93
2024-10-09,Azuay,American Deli,17494.88,2624.23,14870.65
2024-10-10,Azuay,American Deli,26082.72,3912.41,22170.31
2024-10-11,Azuay,American Deli,18774.33,2816.15,15958.18
2024-10-12,Azuay,American Deli,15958.83,2393.82,13565.01
2024-10-13,Azuay,American Deli,29263.04,4389.46,24873.58
2024-10-14,Azuay,American Deli,28951.92,4342.79,24609.13
2024-10-15,Azuay,American Deli,16173.09,2425.96,13747.13
2024-10-16,Azuay,American Deli,16943.04,2541.46,14401.58
2024-10-17,Azuay,American Deli,22632.75,3394.91,19237.84
2024-10-18,Azuay,American Deli,25027.41,3754.11,21273.3
2024-10-19,Azuay,American Deli,22908.86,3436.33,19472.53
2024-10-20,Azuay,American Deli,28565.94,4284.89,24281.05
2024-10-21,Azuay,American Deli,26088.13,3913.22,22174.91
2024-10-22,Azuay,American Deli,21942.84,3291.43,18651.41
2024-10-23,Azuay,American Deli,27795.72,4169.36,23626.36
2024-10-24,Azuay,American Deli,24939.75,3740.96,21198.79
2024-10-25,Azuay,American Deli,26568.34,3985.25,22583.09
2024-10-26,Azuay,American Deli,17296.56,2594.48,14702.08
2024-10-27,Azuay,American Deli,19699.47,2954.92,16744.55
2024-10-28,Azuay,American Deli,23815.34,3572.3,20243.04
2024-10-29,Azuay,American Deli,29836.93,4475.54,25361.39
2024-10-30,Azuay,American Deli,16535.14,2480.27,14054.87
2024-10-31,Azuay,American Deli,22018.37,3302.76,18715.61
2024-11-01,Azuay,American Deli,30608.71,4591.31,26017.4
2024-11-02,Azuay,American Deli,24450.17,3667.53,20782.64
2024-11-03,Azuay,American Deli,24793.68,3719.05,21074.63
2024-11-04,Azuay,American Deli,16187.56,2428.13,13759.43
2024-11-05,Azuay,American Deli,28548.87,4282.33,24266.54
2024-11-06,Azuay,American Deli,23815.1,3572.26,20242.84
2024-11-07,Azuay,American Deli,25781.18,3867.18,21914.0
2024-11-08,Azuay,American Deli,26443.29,3966.49,22476.8
2024-11-09,Azuay,American Deli,15637.12,2345.57,13291.55
2024-11-10,Azuay,American Deli,22679.06,3401.86,19277.2
2024-11-11,Azuay,American Deli,16425.92,2463.89,13962.03
2024-11-12,Azuay,American Deli,18526.66,2779.0,15747.66
2024-11-13,Azuay,American Deli,22621.75,3393.26,19228.49
2024-11-14,Azuay,American Deli,17317.15,2597.57,14719.58
2024-11-15,Azuay,American Deli,23309.47,3496.42,19813.05
2024-11-16,Azuay,American Deli,22506.49,3375.97,19130.52
2024-11-17,Azuay,American Deli,16301.71,2445.26,13856.45
2024-11-18,Azuay,American Deli,16521.99,2478.3,14043.69
2024-11-19,Azuay,American Deli,21605.11,3240.77,18364.34
2024-11-20,Azuay,American Deli,30504.62,4575.69,25928.93
2024-11-21,Azuay,American Deli,20416.2,3062.43,17353.77
2024-11-22,Azuay,American Deli,28574.59,4286.19,24288.4
2024-11-23,Azuay,American Deli,16272.88,2440.93,13831.95
2024-11-24,Azuay,American Deli,25889.57,3883.44,22006.13
2024-11-25,Azuay,American Deli,28389.35,4258.4,24130.95
2024-11-26,Azuay,American Deli,20232.74,3034.91,17197.83
2024-11-27,Azuay,American Deli,20203.0,3030.45,17172.55
2024-11-28,Azuay,American Deli,29452.96,4417.94,25035.02
2024-11-29,Azuay,American Deli,16959.51,2543.93,14415.58
2024-11-30,Azuay,American Deli,28229.21,4234.38,23994.83
2024-12-01,Azuay,American Deli,24905.15,3735.77,21169.38
2024-12-02,Azuay,American Deli,23619.42,3542.91,20076.51
2024-12-03,Azuay,American Deli,16276.68,2441.5,13835.18
2024-12-04,Azuay,American Deli,22344.29,3351.64,18992.65
2024-12-05,Azuay,American Deli,30066.52,4509.98,25556.54
2024-12-06,Azuay,American Deli,28928.3,4339.24,24589.06
2024-12-07,Azuay,American Deli,25759.04,3863.86,21895.18
2024-12-08,Azuay,American Deli,24269.88,3640.48,20629.4
2024-12-09,Azuay,American Deli,30109.69,4516.45,25593.24
2024-12-10,Azuay,American Deli,18117.72,2717.66,15400.06
2024-12-11,Azuay,American Deli,24911.08,3736.66,21174.42
2024-12-12,Azuay,American Deli,18907.74,2836.16,16071.58
2024-12-13,Azuay,American Deli,18376.5,2756.47,15620.03
2024-12-14,Azuay,American Deli,21560.16,3234.02,18326.14
2024-12-15,Azuay,American Deli,28517.85,4277.68,24240.17
2024-12-16,Azuay,American Deli,28010.91,4201.64,23809.27
2024-12-17,Azuay,American Deli,18338.07,2750.71,15587.36
2024-12-18,Azuay,American Deli,28529.41,4279.41,24250.0
2024-12-19,Azuay,American Deli,23819.5,3572.92,20246.58
2024-12-20,Azuay,American Deli,23066.5,3459.97,19606.53
2024-12-21,Azuay,American Deli,19964.95,2994.74,16970.21
2024-12-22,Azuay,American Deli,26700.46,4005.07,22695.39
2024-12-23,Azuay,American Deli,15671.31,2350.7,13320.61
2024-12-24,Azuay,American Deli,23180.6,3477.09,19703.51
2024-12-25,Azuay,American Deli,18575.11,2786.27,15788.84
2024-12-26,Azuay,American Deli,23884.51,3582.68,20301.83
2024-12-27,Azuay,American Deli,30391.08,4558.66,25832.42
2024-12-28,Azuay,American Deli,15408.36,2311.25,13097.11
2024-12-29,Azuay,American Deli,17012.07,2551.81,14460.26
2024-12-30,Azuay,American Deli,21273.79,3191.07,18082.72
2024-01-01,Azuay,Menestras del Negro,27537.88,4130.68,23407.2
2024-01-02,Azuay,Menestras del Negro,28150.67,4222.6,23928.07
2024-01-03,Azuay,Menestras del Negro,21644.68,3246.7,18397.98
2024-01-04,Azuay,Menestras del Negro,16526.78,2479.02,14047.76
2024-01-05,Azuay,Menestras del Negro,17342.14,2601.32,14740.82
2024-01-06,Azuay,Menestras del Negro,29853.88,4478.08,25375.8
2024-01-07,Azuay,Menestras del Negro,15674.05,2351.11,13322.94
2024-01-08,Azuay,Menestras del Negro,27684.42,4152.66,23531.76
2024-01-09,Azuay,Menestras del Negro,21880.43,3282.06,18598.37
2024-01-10,Azuay,Menestras del Negro,24890.25,3733.54,21156.71
2024-01-11,Azuay,Menestras del Negro,26864.84,4029.73,22835.11
2024-01-12,Azuay,Menestras del Negro,27600.34,4140.05,23460.29
2024-01-13,Azuay,Menestras del Negro,26042.19,3906.33,22135.86
2024-01-14,Azuay,Menestras del Negro,23694.93,3554.24,20140.69
2024-01-15,Azuay,Menestras del Negro,22663.38,3399.51,19263.87
2024-01-16,Azuay,Menestras del Negro,25490.56,3823.58,21666.98
2024-01-17,Azuay,Menestras del Negro,16536.8,2480.52,14056.28
2024-01-18,Azuay,Menestras del Negro,28347.18,4252.08,24095.1
2024-01-19,Azuay,Menestras del Negro,22874.12,3431.12,19443.0
2024-01-20,Azuay,Menestras del Negro,28760.61,4314.09,24446.52
2024-01-21,Azuay,Menestras del Negro,28219.68,4232.95,23986.73
2024-01-22,Azuay,Menestras del Negro,20903.69,3135.55,17768.14
2024-01-23,Azuay,Menestras del Negro,24004.88,3600.73,20404.15
2024-01-24,Azuay,Menestras del Negro,23918.47,3587.77,20330.7
2024-01-25,Azuay,Menestras del Negro,22124.63,3318.69,18805.94
2024-01-26,Azuay,Menestras del Negro,25951.6,3892.74,22058.86
2024-01-27,Azuay,Menestras del Negro,24287.51,3643.13,20644.38
2024-01-28,Azuay,Menestras del Negro,22236.78,3335.52,18901.26
2024-01-29,Azuay,Menestras del Negro,23215.04,3482.26,19732.78
2024-01-30,Azuay,Menestras del Negro,27974.5,4196.18,23778.32
2024-01-31,Azuay,Menestras del Negro,26298.94,3944.84,22354.1
2024-02-01,Azuay,Menestras del Negro,19969.44,2995.42,16974.02
2024-02-02,Azuay,Menestras del Negro,16488.76,2473.31,14015.45
2024-02-03,Azuay,Menestras del Negro,25636.7,3845.51,21791.19
2024-02-04,Azuay,Menestras del Negro,22455.53,3368.33,19087.2
2024-02-05,Azuay,Menestras del Negro,21136.13,3170.42,17965.71
2024-02-06,Azuay,Menestras del Negro,23196.38,3479.46,19716.92
2024-02-07,Azuay,Menestras del Negro,25707.85,3856.18,21851.67
2024-02-08,Azuay,Menestras del Negro,26843.13,4026.47,22816.66
2024-02-09,Azuay,Menestras del Negro,16769.82,2515.47,14254.35
2024-02-10,Azuay,Menestras del Negro,22943.64,3441.55,19502.09
2024-02-11,Azuay,Menestras del Negro,22374.49,3356.17,19018.32
2024-02-12,Azuay,Menestras del Negro,25147.55,3772.13,21375.42
2024-02-13,Azuay,Menestras del Negro,24138.66,3620.8,20517.86
2024-02-14,Azuay,Menestras del Negro,26528.54,3979.28,22549.26
2024-02-15,Azuay,Menestras del Negro,28120.19,4218.03,23902.16
2024-02-16,Azuay,Menestras del Negro,18902.76,2835.41,16067.35
2024-02-17,Azuay,Menestras del Negro,16004.62,2400.69,13603.93
2024-02-18,Azuay,Menestras del Negro,16342.91,2451.44,13891.47
2024-02-19,Azuay,Menestras del Negro,28831.69,4324.75,24506.94
2024-02-20,Azuay,Menestras del Negro,21776.4,3266.46,18509.94
2024-02-21,Azuay,Menestras del Negro,28136.16,4220.42,23915.74
2024-02-22,Azuay,Menestras del Negro,16771.79,2515.77,14256.02
2024-02-23,Azuay,Menestras del Negro,26193.13,3928.97,22264.16
2024-02-24,Azuay,Menestras del Negro,29608.91,4441.34,25167.57
2024-02-25,Azuay,Menestras del Negro,21172.86,3175.93,17996.93
2024-02-26,Azuay,Menestras del Negro,21376.62,3206.49,18170.13
2024-02-27,Azuay,Menestras del Negro,30128.12,4519.22,25608.9
2024-02-28,Azuay,Menestras del Negro,15732.14,2359.82,13372.32
2024-02-29,Azuay,Menestras del Negro,30039.98,4506.0,25533.98
2024-03-01,Azuay,Menestras del Negro,28617.57,4292.64,24324.93
2024-03-02,Azuay,Menestras del Negro,27101.43,4065.21,23036.22
